# Exact pursuit|specific point of interest|personal pleasure
watching small beetles cross a stone|following the tiny feet over an uneven edge|a little journey that can hold attention without being hurried
jumping over lines drawn in dust|choosing a line close enough to clear|the pleasure of a small success felt through movement
balancing along a low fallen branch with help|placing the next foot while a familiar hand is available|a little adventure made comfortable by nearby support
dancing to a familiar clapping rhythm|anticipating the next clap and changing a step|the pleasure of moving in time with someone else
rolling down a gentle grassy slope|the dizzy return to sitting after a safe short roll|a playful bodily surprise in a familiar setting
playing at chasing and being caught|the moment of turning to see a trusted pursuer|excitement held inside a game that ends in safe company
walking backward along a safe courtyard path|checking how the familiar path feels in the other direction|a small novelty made from an ordinary movement
tossing a soft cloth ball|trying a throw close enough for a willing partner to catch|the happy back-and-forth of shared play
copying the steps of an older playmate|repeating one simple movement after watching it|the pleasure of joining something an older child can do
sorting bright pebbles by color|placing two similar colors together and reconsidering an odd one|a small collection made understandable by a chosen pattern
lining up nutshells by size|finding where the newest shell fits|the satisfaction of an order visible along a short row
matching leaves with similar shapes|noticing a pointed edge or rounded end|the pleasure of finding a pair in things gathered nearby
finding pairs of fallen feathers|comparing length and visible markings with help|a little discovery made through careful looking
arranging scraps of colored thread|putting a favorite color beside another|making a small pattern without needing a finished object
collecting smooth acorns|turning a safe examined acorn in the hand|the comfort of a familiar small shape and texture
making circles with small stones|closing the last gap in a little ring|a shape that can be made, disturbed, and remade
sorting wooden counters into little piles|moving a counter until a pile looks right|a manageable choice with an immediately visible result
tapping wooden spoons in a rhythm|repeating a short pattern answered by a familiar person|the fun of making a sound that another person recognizes
humming a repeated lullaby|finding the next familiar rise or fall|a comforting sound that can be carried into a quiet moment
listening for the sound of rain on the roof|noticing a louder patter after a quiet interval|being sheltered while something interesting happens overhead
imitating the ring of a distant bell|stretching a sound after the real bell has faded|the pleasure of answering something heard beyond the room
singing the same short refrain with someone familiar|joining the words that are already known|belonging to a small shared sound
making soft whistles through a blade of grass|watching a caregiver's demonstration and trying a little breath|amusement when an ordinary blade makes an unexpected noise
listening to echoes in a safe covered passage|waiting for a small call to return|the surprise of hearing a familiar voice answer itself
rattling dry seeds in a closed little vessel|changing the movement to make a louder or softer sound|a simple noise that responds directly to the hand
asking for a favorite animal tale again|waiting for a known creature to make its familiar entrance|the comfort and anticipation of an ending already loved
giving wooden figures simple names|calling a figure by its chosen name during play|making an ordinary toy into a particular companion
inventing a short adventure for a toy|moving the figure through one small difficulty and return|a safe way to try out a little change and resolution
looking at pictures while someone tells a story|pointing to the pictured thing just mentioned|sharing attention around something that can be seen
acting out a familiar ending|repeating the final gesture or line with a willing listener|the delight of knowing when an expected moment arrives
making up a silly name for a pretend creature|repeating a sound that makes a familiar person laugh|a little invention welcomed without needing to make sense
repeating a funny line from a tale|trying the line again at the remembered moment|the pleasure of carrying shared amusement into the next play
pretending that a stool is a traveling wagon|choosing who or what is going on the pretend trip|an imagined departure that remains close to familiar company
watching clouds pass over a courtyard|following a changing bright edge|a quiet moving thing above an otherwise familiar place
splashing at the edge of a shallow puddle|seeing how a small step changes the water|a lively simple result made with the body
looking for the first flowers after rain|finding a spot of color that was not noticed before|the excitement of a small nearby discovery
watching shadows change on a wall|moving a hand and seeing the outline answer|a simple connection between an action and a surprising image
following fallen leaves blown along a path|watching one leaf stop and begin again|a little chase whose direction is decided by the wind
making small marks in damp sand|drawing a line and smoothing it away|a place to make a visible choice without needing to preserve it
watching water drip from a low eave|waiting for a swelling drop to fall|quiet anticipation inside a repeated small event
finding shapes in a familiar tree trunk|pointing out a curve that resembles a known face or animal|an imaginative discovery in something already familiar
kneading a little piece of dough beside a caregiver|pressing and folding a safely supervised small piece|participation in an ordinary task through a pleasing texture
pretending to serve a meal with empty cups|deciding who receives the next pretend helping|the pleasure of taking a familiar welcoming role in play
folding small cloths with help|bringing one edge toward another as shown|a small useful action that can be attempted again
sweeping a small patch of floor with a little brush|moving visible crumbs toward a chosen spot|the satisfaction of helping in a manageable space
carrying a light basket on a pretend errand|remembering the short route chosen for the game|the pleasure of being trusted with a little purpose
making a nest for a toy from clean cloth|tucking the sides around a familiar figure|copying the comfort of a safe resting place
helping rinse a wooden spoon|watching water carry away a small visible trace|a useful little action shared with a familiar adult
arranging cushions into a pretend home|leaving an opening through which a toy or child can enter|a comfortable small world whose arrangement can be chosen
